,Reviewer Name,Profile Link,Country,Review Count,Review Date,Rating,Review Title,Review Text,Date of Experience
count,21214,21163,21054,21055,21055,21055.0,21055,21055,20947
unique,18531,21156,148,177,,,19277,20407,
top,customer,"January 21, 2012",US,1 review,,,Excellent,Review text not found,
freq,72,3,9286,5761,,,52,630,
mean,,,,,2020-11-23 16:26:51.289799936+00:00,2.1866540014248397,,,2020-12-02 01:00:09.108702976
min,,,,,2007-08-27 17:25:01+00:00,1.0,,,2007-08-27 00:00:00
25%,,,,,2019-09-17 12:59:54+00:00,1.0,,,2019-09-26 12:00:00
50%,,,,,2021-07-26 04:51:41+00:00,1.0,,,2021-07-31 00:00:00
75%,,,,,2023-05-25 18:30:09.500000+00:00,4.0,,,2023-05-12 00:00:00
max,,,,,2024-09-17 13:19:27+00:00,5.0,,,2024-09-17 00:00:00
std,,,,,,1.6767688013853175,,,
